City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,sinjar,36.3209,41.8754,19.62,29,1,4.9,IQ,1682782954
216,wuyo,10.3852,11.6968,40.12,11,50,4.19,NG,1682782954
217,goundam,16.4145,-3.6708,40.81,5,0,5.66,ML,1682782955
218,purranque,-40.9167,-73.1667,12.63,83,99,2.92,CL,1682782956
219,qamdo,31.1667,97.2333,-0.24,73,94,2.06,CN,1682782956
220,pariaman,-0.619,100.12,26.28,85,100,0.99,ID,1682782957
221,mana,5.6592,-53.7767,28.55,74,37,5.23,GF,1682782958
222,luderitz,-26.6481,15.1594,19.3,55,0,9.22,NA,1682782806
223,nacala,-14.5428,40.6728,24.71,78,88,3.89,MZ,1682782959
224,lauf an der pegnitz,49.5103,11.2775,14.47,74,100,3.6,DE,1682782898
225,letterkenny,54.95,-7.7333,17.94,74,99,1.98,IE,1682782833
226,floro,61.5996,5.0328,5.13,87,75,6.69,NO,1682782961
227,tonosho,34.4833,134.1833,18.79,100,100,4.5,JP,1682782962
228,ixtapa,20.7,-105.2,26.24,57,0,2.57,MX,1682782962
229,mount pearl,47.5166,-52.7813,4.42,87,100,11.32,CA,1682782963
230,polovinnoye,54.7914,65.9864,8.61,29,2,3.31,RU,1682782963
231,san antonio de pale,-1.4014,5.6325,28.04,77,100,4.1,GQ,1682782965
232,yantai,37.5333,121.4,11.26,41,1,5.48,CN,1682782693
233,wapakoneta,40.5678,-84.1936,15.81,78,75,4.12,US,1682782967
234,arkalyk,50.2486,66.9114,17.77,51,59,8.72,KZ,1682782849
235,saipan,15.1355,145.701,27.39,78,40,8.23,MP,1682782968
236,mount isa,-20.7333,139.5,16.87,67,100,5.14,AU,1682782968
237,nejo,9.5,35.5,16.78,90,94,2.97,ET,1682782969
238,makarov,48.6333,142.8,1.67,92,100,2.88,RU,1682782970
239,nadym,65.5333,72.5167,-3.41,88,100,10.33,RU,1682782970
240,andovoranto,-18.95,49.1,23.35,80,0,3.24,MG,1682782971
241,diadi,16.662,121.3658,24.1,90,24,0.07,PH,1682782971
242,auki,-8.7676,160.7034,25.75,88,74,1.86,SB,1682782972
243,kindu,-2.95,25.95,21.17,99,100,0.75,CD,1682782973
244,mocimboa,-11.3167,40.35,24.15,90,96,3.53,MZ,1682782973
245,arteche,12.2645,125.4048,26.63,90,100,3.05,PH,1682782974
246,shingu,33.7333,135.9833,19.54,98,100,3.15,JP,1682782830
247,senanga,-16.1167,23.2667,25.31,29,9,1.79,ZM,1682782975
248,iwon-up,40.3231,128.6553,7.62,91,32,3.57,KP,1682782976
249,puerto deseado,-47.7503,-65.8938,13.05,49,44,17.39,AR,1682782976
250,pyt-yakh,60.7499,72.8582,-2.8,95,100,5.21,RU,1682782977
251,capitao poco,-1.7464,-47.0594,29.85,70,98,2.17,BR,1682782978
252,yerofey pavlovich,53.9667,121.9667,-1.07,89,32,1.36,RU,1682782978
253,laurel,39.0993,-76.8483,15.27,92,100,2.06,US,1682782979
254,la peca,-5.6111,-78.435,25.5,70,92,1.25,PE,1682782979
255,la'ie,21.6477,-157.9253,23.03,91,21,1.79,US,1682782980
256,goz beida,13.95,20.55,39.46,23,99,3.6,TD,1682782981
257,chinchilla,-26.75,150.6333,15.65,88,100,2.62,AU,1682782982
258,timbuktu,16.7735,-3.0074,40.99,7,0,4.59,ML,1682782982
259,constantia,44.1833,28.65,16.5,67,100,4.33,RO,1682782983
260,toktogul,41.8708,72.9402,15.0,67,100,0.58,KG,1682782983
261,riberalta,-10.9833,-66.1,30.11,66,75,0.0,BO,1682782984
262,nikolayevsk-on-amure,53.1406,140.73,-4.04,95,19,0.43,RU,1682782985
263,vila franca do campo,37.7167,-25.4333,18.23,80,100,5.87,PT,1682782985
264,todos santos,23.45,-110.2167,22.56,54,48,3.21,MX,1682782986
265,zhezqazghan,47.7833,67.7667,22.23,19,4,4.5,KZ,1682782987
266,kapa'a,22.0752,-159.319,23.18,88,20,3.09,US,1682782988
267,tyukhtet,56.5389,89.3011,2.06,61,29,3.9,RU,1682782988
268,manismata,-2.4667,111.0333,23.87,98,98,0.57,ID,1682782990
269,lhokseumawe,5.1801,97.1507,27.29,79,100,2.0,ID,1682782991
270,villarrica,-25.75,-56.4333,28.7,42,0,3.56,PY,1682782970
271,juneau,58.3019,-134.4197,6.72,97,100,1.54,US,1682782992
272,timaru,-44.4,171.25,7.26,97,0,1.79,NZ,1682782992
273,sungai penuh,-2.0833,101.3833,19.49,96,100,0.68,ID,1682782993
274,zhoushan,30.0108,122.2047,15.53,67,100,2.75,CN,1682782994
275,laojunmiao,39.8333,97.7333,11.1,17,0,3.69,CN,1682782994
276,skelleftea,64.7507,20.9528,6.2,65,40,3.6,SE,1682782915
